< 자동차 등록현황(총 계) >,,,,,,,,,,,,,,,,,,,,,,
조회년월: 2021.11,,,,,,,,,,,,,,,,,,,,,,
,,,,차 종 별,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계
,,,승합피견인형,,1305 ,462 ,860 ,662 ,501 ,551 ,293 ,314 ,4624 ,705 ,734 ,1131 ,595 ,599 ,1217 ,937 ,151 ,15641 
,,,승합특수형 기타,,2150 ,750 ,673 ,769 ,421 ,503 ,328 ,91 ,3404 ,626 ,534 ,736 ,626 ,725 ,944 ,1112 ,301 ,14693 
,화물자동차 합계,,,,326576 ,186208 ,155735 ,194547 ,92261 ,85667 ,71045 ,16644 ,825221 ,160621 ,159308 ,224831 ,188289 ,246878 ,319554 ,292722 ,82840 ,3628947 
,,화물일반형 계,,,206829 ,125860 ,104337 ,125044 ,63499 ,57098 ,49790 ,11942 ,575588 ,118840 ,118201 ,171552 ,144041 ,194433 ,241397 ,221933 ,62451 ,2592835 
,,,화물 픽업형,,23664 ,13206 ,12869 ,18928 ,8638 ,9402 ,5472 ,2236 ,84589 ,22801 ,18766 ,25018 ,19310 ,20024 ,26295 ,25689 ,8422 ,345329 
,,,화물카고형 계,,183165 ,112654 ,91468 ,106116 ,54861 ,47696 ,44318 ,9706 ,490999 ,96039 ,99435 ,146534 ,124731 ,174409 ,215102 ,196244 ,54029 ,2247506 
,,,,화물카고형 1톤 이하,145050 ,86053 ,72185 ,82431 ,41744 ,36941 ,35307 ,7519 ,369006 ,81206 ,81384 ,119569 ,101423 ,145671 ,182691 ,159207 ,47421 ,1794808 
,,,,화물카고형 3톤 이하,18975 ,9934 ,7343 ,10292 ,4154 ,3267 ,2261 ,680 ,50121 ,5270 ,5357 ,8330 ,7110 ,8278 ,10240 ,13040 ,2767 ,167419 
,,,,화물카고형 5톤 미만,9383 ,6548 ,5871 ,5921 ,3522 ,3039 ,1850 ,629 ,39545 ,4488 ,5872 ,8392 ,6397 ,7807 ,9656 ,10164 ,1722 ,130806 
,,,,화물카고형 8톤 미만,4654 ,3949 ,2712 ,2522 ,2223 ,1785 ,1711 ,520 ,16937 ,2855 ,3602 ,5445 ,4398 ,5883 ,6249 ,7094 ,1204 ,73743 
,,,,화물카고형 10톤 미만,1267 ,941 ,704 ,605 ,752 ,505 ,415 ,89 ,4009 ,436 ,764 ,1153 ,1162 ,1427 ,1126 ,1303 ,309 ,16967 
,,,,화물카고형 12톤 미만,682 ,677 ,261 ,418 ,303 ,240 ,194 ,26 ,1560 ,187 ,244 ,352 ,350 ,458 ,450 ,600 ,44 ,7046 
,,,,화물카고형 12톤 이상,3154 ,4552 ,2392 ,3927 ,2163 ,1919 ,2580 ,243 ,9821 ,1597 ,2212 ,3293 ,3891 ,4885 ,4690 ,4836 ,562 ,56717 
,,화물덤프형 계,,,1825 ,1002 ,1027 ,1001 ,500 ,667 ,1107 ,342 ,5834 ,4637 ,4037 ,5300 ,4107 ,5432 ,9831 ,6558 ,1606 ,54813 
,,,,화물덤프형 1톤 이하,468 ,505 ,360 ,312 ,223 ,326 ,847 ,219 ,2476 ,3335 ,2799 ,3311 ,2507 ,3379 ,6310 ,4684 ,909 ,32970 
,,,,화물덤프형 5톤 미만,1045 ,323 ,540 ,558 ,207 ,258 ,180 ,49 ,2151 ,845 ,765 ,1059 ,1045 ,1344 ,2463 ,1323 ,353 ,14508 
,,,,화물덤프형 12톤 미만,299 ,152 ,112 ,108 ,61 ,78 ,69 ,72 ,1165 ,445 ,446 ,900 ,518 ,685 ,1022 ,530 ,335 ,6997 
,,,,화물덤프형 12톤 이상,13 ,22 ,15 ,23 ,9 ,5 ,11 ,2 ,42 ,12 ,27 ,30 ,37 ,24 ,36 ,21 ,9 ,338 
,,화물 밴형 계,,,52245 ,20525 ,21227 ,27058 ,10779 ,11305 ,7419 ,1386 ,87030 ,13248 ,12020 ,13733 ,13513 ,13562 ,24921 ,24525 ,8107 ,362603 
